Year,Quarter,Site,Treatment,LFP,Participation,Case
1996,0,CTJF,0,39.2,84.7,Data
1996,1,CTJF,0,41.8,76.3,Data
1996,2,CTJF,0,43.3,69.6,Data
1996,3,CTJF,0,44.6,65.1,Data
1997,0,CTJF,0,46,60.9,Data
1997,1,CTJF,0,46.4,57.6,Data
1997,2,CTJF,0,48.6,53.9,Data
1997,3,CTJF,0,50.3,51,Data
1998,0,CTJF,0,51.1,47.1,Data
1998,1,CTJF,0,52.6,43.9,Data
1998,2,CTJF,0,52.8,41.3,Data
1998,3,CTJF,0,53.6,37.1,Data
1999,0,CTJF,0,53.9,34.2,Data
1999,1,CTJF,0,53.5,31.9,Data
1999,2,CTJF,0,53.9,29.6,Data
1999,3,CTJF,0,53.1,28,Data
1996,0,CTJF,1,44.4,90,Data
1996,1,CTJF,1,48.7,83.4,Data
1996,2,CTJF,1,52,78,Data
1996,3,CTJF,1,52.6,73.1,Data
1997,0,CTJF,1,54.5,67.8,Data
1997,1,CTJF,1,55.1,64.6,Data
1997,2,CTJF,1,57.1,60.7,Data
1997,3,CTJF,1,58,45.3,Data
1998,0,CTJF,1,58.9,41.9,Data
1998,1,CTJF,1,58.7,35.6,Data
1998,2,CTJF,1,59.1,31.1,Data
1998,3,CTJF,1,58.7,25.7,Data
1999,0,CTJF,1,60,24,Data
1999,1,CTJF,1,60.6,21.8,Data
1999,2,CTJF,1,60.7,20.4,Data
1999,3,CTJF,1,60.7,18.8,Data
1994,0,FTP,0,37.5,76.9,Data
1994,1,FTP,0,39.2,67.3,Data
1994,2,FTP,0,39.8,58.9,Data
1994,3,FTP,0,40.8,54.4,Data
1995,0,FTP,0,41.1,49.8,Data
1995,1,FTP,0,41.9,47.2,Data
1995,2,FTP,0,45.2,42.2,Data
1995,3,FTP,0,44.5,38.6,Data
1996,0,FTP,0,45.3,36.1,Data
1996,1,FTP,0,44.2,33.1,Data
1996,2,FTP,0,44.5,31,Data
1996,3,FTP,0,44.6,27.9,Data
1997,0,FTP,0,46.3,24.3,Data
1997,1,FTP,0,48.4,21.3,Data
1997,2,FTP,0,48.2,19.2,Data
1997,3,FTP,0,49.1,17.8,Data
1998,0,FTP,0,48.6,16.5,Data
1998,1,FTP,0,49.7,14,Data
1994,0,FTP,1,37.9,78.7,Data
1994,1,FTP,1,41.8,70.1,Data
1994,2,FTP,1,44.3,61.2,Data
1994,3,FTP,1,45.2,56.6,Data
1995,0,FTP,1,47,50.7,Data
1995,1,FTP,1,49.2,46.1,Data
1995,2,FTP,1,49.8,41.2,Data
1995,3,FTP,1,52.8,36.5,Data
1996,0,FTP,1,52.4,30.6,Data
1996,1,FTP,1,50.8,27.1,Data
1996,2,FTP,1,51.2,23.8,Data
1996,3,FTP,1,51.1,19.2,Data
1997,0,FTP,1,51,13.3,Data
1997,1,FTP,1,49,12.3,Data
1997,2,FTP,1,49.2,11.5,Data
1997,3,FTP,1,49.8,10.5,Data
1998,0,FTP,1,47.7,9.7,Data
1998,1,FTP,1,48,8.1,Data
1994,1,MFIP-LR,0,27.8,97.4,Data
1994,2,MFIP-LR,0,31.5,97.1,Data
1994,3,MFIP-LR,0,34.4,92.8,Data
1995,0,MFIP-LR,0,32.1,88.6,Data
1995,1,MFIP-LR,0,33.1,84.4,Data
1995,2,MFIP-LR,0,36,79.4,Data
1995,3,MFIP-LR,0,37.6,77.3,Data
1996,0,MFIP-LR,0,41.2,74.3,Data
1996,1,MFIP-LR,0,42.3,71.8,Data
1996,2,MFIP-LR,0,44.1,66.6,Data
1996,3,MFIP-LR,0,45.3,63.8,Data
1997,0,MFIP-LR,0,44.7,60.3,Data
1994,1,MFIP-LR,1,31.5,97.5,Data
1994,2,MFIP-LR,1,42.1,96.8,Data
1994,3,MFIP-LR,1,47.2,94.2,Data
1995,0,MFIP-LR,1,45.2,90.7,Data
1995,1,MFIP-LR,1,49.6,88.1,Data
1995,2,MFIP-LR,1,52.7,84,Data
1995,3,MFIP-LR,1,52.4,82.2,Data
1996,0,MFIP-LR,1,53.4,80,Data
1996,1,MFIP-LR,1,54.1,78,Data
1996,2,MFIP-LR,1,56.2,74.4,Data
1996,3,MFIP-LR,1,55.5,71.3,Data
1997,0,MFIP-LR,1,56.9,67.8,Data
1994,1,MFIP-LR,2,31.6,98.1,Data
1994,2,MFIP-LR,2,37.7,97.6,Data
1994,3,MFIP-LR,2,39.4,95.2,Data
1995,0,MFIP-LR,2,41.3,91.6,Data
1995,1,MFIP-LR,2,40.6,89.6,Data
1995,2,MFIP-LR,2,41.4,87,Data
1995,3,MFIP-LR,2,43.2,84.8,Data
1996,0,MFIP-LR,2,42.3,82.3,Data
1996,1,MFIP-LR,2,44.8,80.6,Data
1996,2,MFIP-LR,2,45.5,76.3,Data
1996,3,MFIP-LR,2,48.1,74,Data
1997,0,MFIP-LR,2,51.3,72.1,Data
1994,1,MFIP-RA,0,53.8,77.4,Data
1994,2,MFIP-RA,0,46.3,77.9,Data
1994,3,MFIP-RA,0,47.7,68.4,Data
1995,0,MFIP-RA,0,49.3,61.9,Data
1995,1,MFIP-RA,0,51.9,54.9,Data
1995,2,MFIP-RA,0,51.8,49.9,Data
1995,3,MFIP-RA,0,52.9,46.6,Data
1996,0,MFIP-RA,0,53.9,44.8,Data
1996,1,MFIP-RA,0,53.9,42.3,Data
1996,2,MFIP-RA,0,55,39.5,Data
1996,3,MFIP-RA,0,55.7,36.7,Data
1997,0,MFIP-RA,0,55.3,33.8,Data
1994,1,MFIP-RA,1,54.4,84.1,Data
1994,2,MFIP-RA,1,48.1,84.7,Data
1994,3,MFIP-RA,1,51.6,77.8,Data
1995,0,MFIP-RA,1,52.4,70.3,Data
1995,1,MFIP-RA,1,54.9,64.1,Data
1995,2,MFIP-RA,1,55.9,59.1,Data
1995,3,MFIP-RA,1,56.2,55.6,Data
1996,0,MFIP-RA,1,58.1,52.5,Data
1996,1,MFIP-RA,1,57,49.3,Data
1996,2,MFIP-RA,1,57.7,45.7,Data
1996,3,MFIP-RA,1,58.2,42.7,Data
1997,0,MFIP-RA,1,58.4,40.9,Data
1994,1,MFIP-RA,2,52.6,82.7,Data
1994,2,MFIP-RA,2,49.8,84.6,Data
1994,3,MFIP-RA,2,51.3,76.7,Data
1995,0,MFIP-RA,2,51.7,70.1,Data
1995,1,MFIP-RA,2,53.1,65.5,Data
1995,2,MFIP-RA,2,52,59.7,Data
1995,3,MFIP-RA,2,53.2,56.9,Data
1996,0,MFIP-RA,2,53.1,54.8,Data
1996,1,MFIP-RA,2,55.1,52,Data
1996,2,MFIP-RA,2,54.9,49.1,Data
1996,3,MFIP-RA,2,55.9,47.8,Data
1997,0,MFIP-RA,2,55.1,44,Data
1996,0,CTJF,0,33.66645846346034,74.0412242348532,Model
1996,1,CTJF,0,35.819279616906094,69.23173016864459,Model
1996,2,CTJF,0,37.86383510306058,66.36685404955236,Model
1996,3,CTJF,0,38.82156985217572,64.58463460337289,Model
1997,0,CTJF,0,40.59546117010201,60.961898813241724,Model
1997,1,CTJF,0,42.75661045180095,57.94295232146575,Model
1997,2,CTJF,0,44.66375182177805,55.2154903185509,Model
1997,3,CTJF,0,46.10451800957735,53.55402873204247,Model
1998,0,CTJF,0,48.50301894649177,45.47158026233603,Model
1998,1,CTJF,0,50.15198834062045,43.29793878825733,Model
1998,2,CTJF,0,52.04663751821778,41.807203830938995,Model
1998,3,CTJF,0,55.09056839475327,37.90547574432646,Model
1999,0,CTJF,0,57.42244430564231,34.58255257130959,Model
1999,1,CTJF,0,60.68290651676035,31.576098271913384,Model
1999,2,CTJF,0,59.362898188632094,28.80283156360608,Model
1999,3,CTJF,0,60.14574224443056,31.692692067457834,Model
1996,0,CTJF,1,44.426400166562566,75.91505309181761,Model
1996,1,CTJF,1,47.86591713512387,74.23277118467624,Model
1996,2,CTJF,1,49.814699146366856,73.32500520508015,Model
1996,3,CTJF,1,51.97584842806579,73.79138038725796,Model
1997,0,CTJF,1,50.560066625026025,72.39225484072455,Model
1997,1,CTJF,1,50.49760566312721,57.068498854882364,Model
1997,2,CTJF,1,51.601082656672915,56.75202998126171,Model
1997,3,CTJF,1,53.52071621902977,46.32521340828649,Model
1998,0,CTJF,1,55.49864667915886,29.81886321049344,Model
1998,1,CTJF,1,57.98042889860503,19.554445138455133,Model
1998,2,CTJF,1,59.84176556318966,7.861753070997294,Model
1998,3,CTJF,1,61.61565688111597,5.52154903185509,Model
1999,0,CTJF,1,61.736414740787005,3.9100562148657083,Model
1999,1,CTJF,1,64.23485321673952,3.064751197168436,Model
1999,2,CTJF,1,63.701853008536325,2.7316260670414323,Model
1999,3,CTJF,1,64.15990006246096,2.460961898813242,Model
1994,0,FTP,0,35.16163410301954,60.269982238010655,Model
1994,1,FTP,0,37.35701598579041,56.93783303730018,Model
1994,2,FTP,0,39.48845470692717,49.847246891651864,Model
1994,3,FTP,0,40.36234458259325,53.0088809946714,Model
1995,0,FTP,0,41.57726465364121,42.82770870337478,Model
1995,1,FTP,0,41.6056838365897,51.09769094138543,Model
1995,2,FTP,0,43.829484902309055,39.96447602131439,Model
1995,3,FTP,0,44.53285968028419,39.765541740674955,Model
1996,0,FTP,0,46.1740674955595,47.34635879218472,Model
1996,1,FTP,0,47.9715808170515,32.84547069271758,Model
1996,2,FTP,0,48.52575488454707,28.873889875666077,Model
1996,3,FTP,0,48.49023090586145,29.207815275310832,Model
1997,0,FTP,0,51.96447602131439,41.669626998223805,Model
1997,1,FTP,0,51.44582593250444,41.52753108348135,Model
1997,2,FTP,0,53.9538188277087,26.962699822380102,Model
1997,3,FTP,0,52.731793960923625,33.86145648312611,Model
1998,0,FTP,0,55.58792184724689,37.67673179396092,Model
1998,1,FTP,0,57.03730017761989,32.5683836589698,Model
1994,0,FTP,1,39.3392539964476,52.62522202486678,Model
1994,1,FTP,1,42.0461811722913,48.788632326820604,Model
1994,2,FTP,1,43.751332149200714,46.50088809946714,Model
1994,3,FTP,1,44.52575488454707,45.243339253996446,Model
1995,0,FTP,1,44.37655417406749,44.39786856127886,Model
1995,1,FTP,1,44.760213143872114,42.8348134991119,Model
1995,2,FTP,1,46.252220248667854,41.69804618117229,Model
1995,3,FTP,1,47.65896980461812,41.19360568383659,Model
1996,0,FTP,1,47.03374777975134,38.06039076376554,Model
1996,1,FTP,1,47.793960923623445,36.184724689165186,Model
1996,2,FTP,1,49.55595026642984,29.342806394316163,Model
1996,3,FTP,1,50.23801065719361,27.67317939609236,Model
1997,0,FTP,1,50.74955595026643,25.21492007104796,Model
1997,1,FTP,1,51.55239786856127,22.891651865008882,Model
1997,2,FTP,1,54.131438721136774,15.303730017761987,Model
1997,3,FTP,1,52.888099467140314,18.543516873889875,Model
1998,0,FTP,1,53.62699822380107,15.232682060390765,Model
1998,1,FTP,1,55.23978685612788,11.104795737122558,Model
1994,1,MFIP-LR,0,31.826683291770568,88.86533665835411,Model
1994,2,MFIP-LR,0,32.4002493765586,87.76807980049874,Model
1994,3,MFIP-LR,0,33.90897755610972,85.14962593516209,Model
1995,0,MFIP-LR,0,35.72942643391521,82.79925187032418,Model
1995,1,MFIP-LR,0,39.04613466334164,78.57231920199501,Model
1995,2,MFIP-LR,0,40.1932668329177,77.16334164588528,Model
1995,3,MFIP-LR,0,41.68329177057356,74.38902743142144,Model
1996,0,MFIP-LR,0,40.635910224438895,74.93765586034911,Model
1996,1,MFIP-LR,0,44.432668329177055,72.21945137157107,Model
