Year,Site,Treatment_Num,LFP,Earnings,Welfare,Receipt,FoodStamps,TotInc,NEWWS,Treatment,Imputed_Earnings,DATE,CPIAUCSL,year,CPI
1996,CTJF,0,42.225,3831.0,73.925,3920.0,77.8,9584.0,0.0,Control,9072.824156305505,1996-01-01,156.85833333333332,1996,1.1519583843329253
1997,CTJF,0,47.825,5465.0,55.85,3018.0,63.349999999999994,10038.0,0.0,Control,11427.07788813382,1997-01-01,160.525,1997,1.178886168910649
1998,CTJF,0,52.525,7054.0,42.35,2260.0,53.375,10648.0,0.0,Control,13429.795335554498,1998-01-01,163.00833333333333,1998,1.197123623011016
1999,CTJF,0,53.6,8502.0,30.924999999999997,1648.0,45.05,11265.0,0.0,Control,15861.940298507461,1999-01-01,166.58333333333334,1999,1.2233782129742963
1996,CTJF,1,49.425,4028.0,81.125,4674.0,80.69999999999999,10743.0,0.0,Treatment,8149.721800708144,1996-01-01,156.85833333333332,1996,1.1519583843329253
1997,CTJF,1,56.175,6105.0,59.599999999999994,3382.0,65.02499999999999,11158.0,0.0,Treatment,10867.823765020028,1997-01-01,160.525,1997,1.178886168910649
1998,CTJF,1,58.849999999999994,7658.0,33.574999999999996,1837.0,50.825,10819.0,0.0,Treatment,13012.744265080715,1998-01-01,163.00833333333333,1998,1.197123623011016
1999,CTJF,1,60.5,8870.0,21.249999999999996,1168.0,42.224999999999994,11136.0,0.0,Treatment,14661.157024793389,1999-01-01,166.58333333333334,1999,1.2233782129742963
1994,FTP,0,39.325,2520.0,64.375,1990.0,76.025,6800.0,0.0,Control,6408.137317228226,1994-01-01,148.225,1994,1.0885556915544676
1995,FTP,0,43.175,3279.0,44.449999999999996,1289.0,60.550000000000004,6359.0,0.0,Control,7594.672843080487,1995-01-01,152.38333333333333,1995,1.1190942472460221
1996,FTP,0,44.65,3853.0,32.025,870.0,48.85000000000001,6137.0,0.0,Control,8629.339305711086,1996-01-01,156.85833333333332,1996,1.1519583843329253
1997,FTP,0,47.99999999999999,4641.0,20.65,548.0,40.65,6311.0,0.0,Control,9668.750000000002,1997-01-01,160.525,1997,1.178886168910649
1998,FTP,0,49.150000000000006,5146.0,15.25,396.0,35.400000000000006,6576.0,0.0,Control,10469.989827060019,1998-01-01,163.00833333333333,1998,1.197123623011016
1994,FTP,1,42.3,2757.0,66.65,1980.0,76.42500000000001,6868.0,0.0,Treatment,6517.730496453901,1994-01-01,148.225,1994,1.0885556915544676
1995,FTP,1,49.7,3939.0,43.625,1153.0,59.625,6709.0,0.0,Treatment,7925.553319919516,1995-01-01,152.38333333333333,1995,1.1190942472460221
1996,FTP,1,51.37499999999999,4763.0,25.175,581.0,48.45,6635.0,0.0,Treatment,9271.046228710464,1996-01-01,156.85833333333332,1996,1.1519583843329253
1997,FTP,1,49.75,5206.0,11.9,273.0,40.0,6563.0,0.0,Treatment,10464.321608040202,1997-01-01,160.525,1997,1.178886168910649
1998,FTP,1,47.85,5274.0,8.899999999999999,202.0,33.75,6422.0,0.0,Treatment,11021.943573667711,1998-01-01,163.00833333333333,1998,1.197123623011016
1994,MFIP-LR,0,31.233333333333334,1642.6666666666667,95.76666666666667,7648.0,,9290.666666666666,0.0,Control,5259.338313767343,1994-01-01,148.225,1994,1.0885556915544676
1995,MFIP-LR,0,34.7,2837.0,82.42499999999998,6507.0,,9344.0,0.0,Control,8175.79250720461,1995-01-01,152.38333333333333,1995,1.1190942472460221
1996,MFIP-LR,0,43.225,4567.0,69.125,5348.0,,9915.0,0.0,Control,10565.644881434355,1996-01-01,156.85833333333332,1996,1.1519583843329253
1997,MFIP-LR,0,44.7,5480.0,60.3,4664.0,,10144.0,0.0,Control,12259.507829977627,1997-01-01,160.525,1997,1.178886168910649
1994,MFIP-LR,2,36.23333333333334,1820.0,96.96666666666665,8325.333333333334,,10145.333333333334,0.0,Treatment,5022.999080036798,1994-01-01,148.225,1994,1.0885556915544676
1995,MFIP-LR,2,41.625,2910.0,88.25,7585.0,,10495.0,0.0,Treatment,6990.990990990991,1995-01-01,152.38333333333333,1995,1.1190942472460221
1996,MFIP-LR,2,45.175,4243.0,78.3,6510.0,,10753.0,0.0,Treatment,9392.363032650803,1996-01-01,156.85833333333332,1996,1.1519583843329253
1997,MFIP-LR,2,51.3,5528.0,72.1,5812.0,,11340.0,0.0,Treatment,10775.828460038985,1997-01-01,160.525,1997,1.178886168910649
1996,LA-GAIN,2,25.1,1784.0,97.6,6480.0,93.2,8264.0,0.0,Treatment,7107.5697211155375,1996-01-01,156.85833333333332,1996,1.1519583843329253
1996,LA-GAIN,0,29.4,2432.0,90.4,5784.0,87.05,8216.0,0.0,Control,8272.108843537415,1996-01-01,156.85833333333332,1996,1.1519583843329253
1997,LA-GAIN,0,35.8,3638.0,75.85,4590.0,73.75,8228.0,0.0,Control,10162.011173184357,1997-01-01,160.525,1997,1.178886168910649
1998,LA-GAIN,0,38.4,4340.0,66.2,3852.0,64.5,8192.0,0.0,Control,11302.083333333334,1998-01-01,163.00833333333333,1998,1.197123623011016
1996,LA-GAIN,1,37.13333333333333,2990.6666666666665,90.33333333333333,5616.0,86.86666666666667,8606.666666666666,0.0,Treatment,8053.859964093356,1996-01-01,156.85833333333332,1996,1.1519583843329253
1997,LA-GAIN,1,42.45,4448.0,71.4,4068.0,69.975,8516.0,0.0,Treatment,10478.20965842167,1997-01-01,160.525,1997,1.178886168910649
1998,LA-GAIN,1,44.9,5288.0,61.5,3252.0,60.3,8540.0,0.0,Treatment,11777.28285077951,1998-01-01,163.00833333333333,1998,1.197123623011016
1994,MFIP-LR,1,40.266666666666666,1948.0,96.16666666666667,8257.333333333334,,10205.333333333334,0.0,Treatment,4837.748344370861,1994-01-01,148.225,1994,1.0885556915544676
1995,MFIP-LR,1,49.975,3734.0,86.25,7062.0,,10796.0,0.0,Treatment,7471.735867933967,1995-01-01,152.38333333333333,1995,1.1190942472460221
1996,MFIP-LR,1,54.8,5281.0,75.925,5948.0,,11229.0,0.0,Treatment,9636.861313868614,1996-01-01,156.85833333333332,1996,1.1519583843329253
1997,MFIP-LR,1,56.9,5944.0,67.8,5288.0,,11232.0,0.0,Treatment,10446.39718804921,1997-01-01,160.525,1997,1.178886168910649
1994,MFIP-RA,0,49.26666666666667,3982.6666666666665,74.56666666666666,4016.0,,7998.666666666667,0.0,Control,8083.8971583220555,1994-01-01,148.225,1994,1.0885556915544676
