Year,Site,Treatment,LFP,Earnings,Participation,Receipt,FoodStamps,CPI,TotInc
1996,CTJF,0,42.225,3831.0,73.925,3920.0,77.8,1.1519583843329253,9584.0
1997,CTJF,0,47.825,5465.0,55.85,3018.0,63.349999999999994,1.178886168910649,10038.0
1998,CTJF,0,52.525,7054.0,42.35,2260.0,53.375,1.197123623011016,10648.0
1999,CTJF,0,53.6,8502.0,30.924999999999997,1648.0,45.05,1.2233782129742963,11265.0
1996,CTJF,1,49.425,4028.0,81.125,4674.0,80.69999999999999,1.1519583843329253,10743.0
1997,CTJF,1,56.175,6105.0,59.599999999999994,3382.0,65.02499999999999,1.178886168910649,11158.0
1998,CTJF,1,58.849999999999994,7658.0,33.574999999999996,1837.0,50.825,1.197123623011016,10819.0
1999,CTJF,1,60.5,8870.0,21.249999999999996,1168.0,42.224999999999994,1.2233782129742963,11136.0
1994,FTP,0,39.325,2520.0,64.375,1990.0,76.025,1.0885556915544676,6800.0
1995,FTP,0,43.175,3279.0,44.449999999999996,1289.0,60.550000000000004,1.1190942472460221,6359.0
1996,FTP,0,44.65,3853.0,32.025,870.0,48.85000000000001,1.1519583843329253,6137.0
1997,FTP,0,47.99999999999999,4641.0,20.65,548.0,40.65,1.178886168910649,6311.0
1998,FTP,0,49.150000000000006,5146.0,15.25,396.0,35.400000000000006,1.197123623011016,6576.0
1994,FTP,1,42.3,2757.0,66.65,1980.0,76.42500000000001,1.0885556915544676,6868.0
1995,FTP,1,49.7,3939.0,43.625,1153.0,59.625,1.1190942472460221,6709.0
1996,FTP,1,51.37499999999999,4763.0,25.175,581.0,48.45,1.1519583843329253,6635.0
1997,FTP,1,49.75,5206.0,11.9,273.0,40.0,1.178886168910649,6563.0
1998,FTP,1,47.85,5274.0,8.899999999999999,202.0,33.75,1.197123623011016,6422.0
1994,MFIP-LR,0,31.233333333333334,1642.6666666666667,95.76666666666667,7648.0,,1.0885556915544676,9290.666666666666
1995,MFIP-LR,0,34.7,2837.0,82.42499999999998,6507.0,,1.1190942472460221,9344.0
1996,MFIP-LR,0,43.225,4567.0,69.125,5348.0,,1.1519583843329253,9915.0
1997,MFIP-LR,0,44.7,5480.0,60.3,4664.0,,1.178886168910649,10144.0
1994,MFIP-LR,2,36.23333333333334,1820.0,96.96666666666665,8325.333333333334,,1.0885556915544676,10145.333333333334
1995,MFIP-LR,2,41.625,2910.0,88.25,7585.0,,1.1190942472460221,10495.0
1996,MFIP-LR,2,45.175,4243.0,78.3,6510.0,,1.1519583843329253,10753.0
1997,MFIP-LR,2,51.3,5528.0,72.1,5812.0,,1.178886168910649,11340.0
1996,LA-GAIN,2,25.1,1784.0,97.6,6480.0,93.2,1.1519583843329253,8264.0
1996,LA-GAIN,0,29.4,2432.0,90.4,5784.0,87.05,1.1519583843329253,8216.0
1997,LA-GAIN,0,35.8,3638.0,75.85,4590.0,73.75,1.178886168910649,8228.0
1998,LA-GAIN,0,38.4,4340.0,66.2,3852.0,64.5,1.197123623011016,8192.0
1996,LA-GAIN,1,37.13333333333333,2990.6666666666665,90.33333333333333,5616.0,86.86666666666667,1.1519583843329253,8606.666666666666
1997,LA-GAIN,1,42.45,4448.0,71.4,4068.0,69.975,1.178886168910649,8516.0
1998,LA-GAIN,1,44.9,5288.0,61.5,3252.0,60.3,1.197123623011016,8540.0
1994,MFIP-LR,1,40.266666666666666,1948.0,96.16666666666667,8257.333333333334,,1.0885556915544676,10205.333333333334
