"","Site","Year","Arm","AgeMin","AgeMax","UseCare","UsePaid","Subs","PayCare","OOP","Emp","N","CalYear","CPI","X","X.1","Formal","X.2","Price","Price2"
"1","NEWWS-A",2,0,0,9,19.4,13.3,0.109660574412533,11.3,77.0678433799059,38.3,1086,1993,1.06101591187271,0.685567010309278,0.347258485639687,19.4,0.506527415143603,81.358951863487,108.921233356224
"2","NEWWS-A",2,1,0,9,20.6,16,0.204488778054863,11.4,56.2259055543518,40.1,804,1993,1.06101591187271,0.776699029126214,0.399002493765586,18.6,0.463840399002494,59.0681983257433,71.8462314121036
"3","NEWWS-G",2,0,0,9,30.8,23.4,0.04,23.2,100.185466648135,52.5,584,1993,1.06101591187271,0.75974025974026,0.445714285714286,10.4,0.198095238095238,136.602036117572,136.156442213648
"4","NEWWS-G",2,1,0,9,36.4,29.4,0.0674740484429066,27.6,96.1540206838014,57.8,574,1993,1.06101591187271,0.807692307692308,0.508650519031142,10.2,0.176470588235294,104.418812459117,125.414907941044
"5","NEWWS-R",2,0,0,9,18,13.4,0.040983606557377,12.7,127.640361309212,36.6,1114,1993,1.06101591187271,0.744444444444444,0.366120218579235,8,0.218579234972678,134.907530608657,135.77188135911
"6","NEWWS-R",2,1,0,9,25.9,17.8,0.0606741573033708,15.2,116.53627614307,44.5,564,1993,1.06101591187271,0.687258687258687,0.4,2.6,0.058426966292135,110.27655442497,128.073462754219
"7","CTJF",3,0,0,9,41,28,0.258620689655172,24.3,91.1507166070753,58,1175,1999,1.2233782129743,0.682926829268293,0.482758620689655,12.7,0.218965517241379,52.3535883591928,50.6822669929297
"8","CTJF",3,1,0,9,47.4,32.9,0.275449101796407,26.3,76.8187910154403,66.8,1249,1999,1.2233782129743,0.694092827004219,0.49251497005988,16.8,0.251497005988024,50.684926391104,44.1028592968186
"9","FTP",4,0,0,9,29.8,13.7,0.088628762541806,9.1,58.2376172472691,59.8,869,1999,1.2233782129743,0.459731543624161,0.229096989966555,13.3,0.222408026755853,90.765754682478,117.144045094139
"10","FTP",4,1,0,9,31.8,13.8,0.101426307448494,9.9,47.7673571293854,63.1,860,1999,1.2233782129743,0.433962264150943,0.218700475435816,14.1,0.223454833597464,84.6884269615108,112.140586375412
"11","LAGAIN",2,0,0,9,25.4,19.2,0.0595533498759305,16.9,267.657137589054,40.3,374,1998,1.19712362301102,0.755905511811024,0.476426799007444,NA,NA,111.338134574615,128.511665060656
"12","LAGAIN",2,1,0,9,32.8,22.2,0.0220883534136546,20.4,228.475238300341,49.8,372,1998,1.19712362301102,0.676829268292683,0.44578313253012,NA,NA,185.341089258606,143.159362299701
"13","MFIP-RA",3,0,0,9,61.1,48.2,0.160188457008245,42.2,78.4005422456865,84.9,492,1998,1.19712362301102,0.788870703764321,0.567726737338045,NA,NA,66.9636565206566,89.1663368854014
"14","MFIP-RA",3,1,0,9,62.7,50.7,0.287777777777778,32,54.3073832924131,90,514,1998,1.19712362301102,0.808612440191387,0.563333333333333,NA,NA,49.5573322847358,39.2827143565879
"15","MFIP-RA",3,2,0,9,59.8,46.7,0.257175660160735,33.6,50.6211972155108,87.1,217,1998,1.19712362301102,0.780936454849498,0.536165327210103,NA,NA,52.504533517389,51.2472304664303
"16","MFIP-LR",3,0,0,9,47,32.5,0.173677069199457,24.9,51.9782305784975,73.7,352,1998,1.19712362301102,0.691489361702128,0.440976933514247,16,0.217096336499322,64.2388869039801,83.8926914507699
"17","MFIP-LR",3,1,0,9,56.9,45.4,0.277842907385698,28.2,40.4953738333334,85.3,372,1998,1.19712362301102,0.797891036906854,0.532239155920281,17.8,0.208675263774912,50.4600733739413,43.1669526417528
"18","MFIP-LR",3,2,0,9,53.2,40.2,0.264354066985646,24.1,37.402098483705,83.6,366,1998,1.19712362301102,0.755639097744361,0.480861244019139,15.8,0.188995215311005,51.7670488783612,48.4406872992404
