Site,Treatment,YearOfMeasurement,AgeMin,AgeMax,Sample,BPI,BPIHigh,Suspend,Repeat,Achievement,AchieveBelowAverage,AchieveAboveAverage
FTP,C,4,5,12,565,10.9,26.3,8.8,24.8,4,9.5,66
FTP,T,4,5,12,543,10.8,28.7,8.2,25.8,4.1,7.4,69.7
FTP,C,4,13,17,374,,,32.7,,3.7,10.9,
FTP,T,4,13,17,367,,,40.7,,3.9,14.8,
CTJF,C,3,5,12,721,9.2,,9.1,,4.2,6.2,
CTJF,T,3,5,12,748,8.3,,7.8,,4.2,4.9,
CTJF,C,3,13,17,492,,,,,3.9,7.9,
CTJF,T,3,13,17,578,,,,,3.7,12.7,
MFIP-LR,C,3,5,12,281,12.7,14.5,12.9,,4,12.3,
MFIP-LR,I,3,5,12,292,11.2,10.6,14.3,,4.1,8.9,
MFIP-LR,F,3,5,12,306,11.2,6.8,11.4,,4.1,7.2,
MFIP-A,C,3,5,12,259,9.8,,6.2,,4.3,5.1,
MFIP-A,I,3,5,12,135,10.7,,8.5,,4.1,9.6,
MFIP-A,F,3,5,12,258,10.8,,10.5,,4.2,8.2,
MFIP-LR,C,3,5,8,337,,,,3.8,4.1,11,
MFIP-LR,F,3,5,8,338,,,,5.2,4.2,6.3,
MFIP-A,C,3,5,8,293,,,,3,4.3,4.6,
MFIP-A,F,3,5,8,284,,,,2.7,4.3,5.3,
MFIP-LR,C,3,9,12,213,,,,8,3.7,16.8,
MFIP-LR,F,3,9,12,246,,,,4.5,3.8,11.1,
MFIP-A,C,3,9,12,206,,,,5.2,4.1,8.3,
MFIP-A,F,3,9,12,217,,,,7.5,4,11.1,
MFIP-LR,C,3,13,18,154,,,,17.7,3.6,23,
MFIP-LR,F,3,13,18,164,,,,14.6,3.6,21.6,
MFIP-A,C,3,13,18,170,,,,12.1,3.7,16.6,
MFIP-A,F,3,13,18,196,,,,17,3.4,24.9,
MFIP-LR,C,3,5,8,195,11.5,,,,4.2,,
MFIP-LR,F,3,5,8,193,10.9,,,,4.3,,
MFIP-LR,C,3,9,12,86,15.4,,,,3.5,,
MFIP-LR,F,3,9,12,113,11.5,,,,3.9,,
