Site,Treatment,YearOfMeasurement,AgeMin,AgeMax,N_control,N_treat,BPI,PB,Suspend,Repeat,Achievement,AchieveBelowAverage,Math,AboveMath,BelowMath,Read,AboveRead,BelowRead
CTJF,1,3,5,12,721,748,-0.9,1,-1.2,,0,-1.4,,,,,,
CTJF,1,3,13,17,492,578,-3,-3.9,-0.1,,-0.3,4.8,,,,,,
FTP,1,4,5,12,565,543,-0.1,-1.2,-0.6,1,0.1,-2.1,,,,,,
FTP,1,4,13,17,374,367,,,8,,-0.2,3.9,,,,,,
MFIPLR,1,3,5,12,281,306,-1.5,0.5,-1.5,1.8,0.2,-5.1,,,,,,
MFIPLR,2,3,5,12,281,292,-1.5,6.9,1.4,0.4,0.2,-3.4,,,,,,
MFIPLR,1,3,5,8,337,338,,,,1.4,0.1,-4.7,,,,,,
MFIPLR,1,3,9,12,213,246,,,,-3.6,0.1,-5.7,,,,,,
MFIPLR,1,3,13,18,154,164,,,,-3.1,0,-1.4,,,,,,
MFIPLR,1,3,5,8,193,195,-0.7,-3.5,,,0.1,,,,,,,
MFIPLR,1,3,9,12,113,86,-3.9,9.1,,,0.4,,,,,,,
MFIPRA,1,3,5,12,259,258,1,-3.2,4.4,-2.6,-0.1,3.1,,,,,,
MFIPRA,2,3,5,12,259,135,0.9,-3.4,2.3,1.2,-0.2,4.5,,,,,,
MFIPRA,1,3,5,8,293,284,,,,-0.2,0,0.7,,,,,,
MFIPRA,1,3,9,12,206,217,,,,2.3,-0.1,2.7,,,,,,
MFIPRA,1,3,13,18,170,196,,,,4.9,-0.3,8.3,,,,,,
LAGAIN,1,2,3,5,239,222,,,,5.9,,,,,,,,
LAGAIN,1,2,6,9,221,208,,,-3.6,-0.5,0,-3,,,,,,
LAGAIN,1,2,10,18,254,245,,,-3.7,-3.3,0,2.5,,,,,,
NEWWSG,1,5,1,2,360,,,,-6.4,-1.6,,,,,,,,
NEWWSG,1,5,3,5,562,,,,-1.6,3.1,,,,,,,,
NEWWSG,1,5,6,9,517,,,,7,4.4,,,,,,,,
NEWWSG,1,5,10,18,890,,,,1.3,4.2,,,,,,,,
NEWWSG,1,,3,5,377,,,,,,,,0.8,7.8,3.1,1.4,6.1,-3.5
NEWWS-GR-HCD,2,5,1,2,381,,,,-4.6,-2.1,,,,,,,,
NEWWS-GR-HCD,2,5,3,5,534,,,,-0.6,5.2,,,,,,,,
NEWWS-GR-HCD,2,5,6,9,503,,,,-1.9,2.7,,,,,,,,
NEWWS-GR-HCD,2,5,10,18,919,,,,-1.8,4.3,,,,,,,,
NEWWS-GR-HCD,2,,3,5,363,,,,,,,,-1.2,3.8,6.8,-1,1,1.5
NEWWS-A-HCD ,2,5,3,5,876,,,,0.1,-1.7,,,,,,,,
NEWWS-A-HCD ,2,5,6,9,694,,,,1.1,-3.6,,,,,,,,
NEWWS-A-HCD ,2,5,10,18,938,,,,-1.9,-1.6,,,,,,,,
NEWWS-A-HCD ,2,5,3,5,627,,,,,,,,1.7,3.5,-4.1,0.5,-0.1,-4.3
NEWWS-R-HCD,2,5,3,5,648,,,,0.8,-2.5,,,,,,,,
NEWWS-R-HCD,2,5,6,9,484,,,,-8.4,2.3,,,,,,,,
NEWWS-R-HCD,2,5,10,18,652,,,,0.9,3.9,,,,,,,,
NEWWS-R-HCD,2,5,3,5,383,,,,,,,,0.2,0.7,4.9,0.5,-2.7,3
NEWWSA,1,5,3,5,766,,,,0.2,0,,,,,,,,
NEWWSA,1,5,6,9,652,,,,0.1,-2,,,,,,,,
NEWWSA,1,5,10,18,834,,,,-6.8,-1.9,,,,,,,,
NEWWSA,1,5,3,5,557,,,,,,,,0.2,2.8,-2.3,-0.2,-1.6,-3.2
NEWWSR,1,5,3,5,820,,,,-1.9,-5.2,,,,,,,,
NEWWSR,1,5,6,9,753,,,,-5.6,1.5,,,,,,,,
NEWWSR,1,5,10,18,1120,,,,0.3,2.9,,,,,,,,
NEWWSR,1,5,3,5,463,,,,,,,,1.1,6.6,-1.9,0.3,-0.7,2.2
