Site,Treatment,YearOfMeasurement,AgeMin,AgeMax,N_control,N_treat,BPI,PB,Suspend,Repeat,Achievement,AchieveBelowAverage,Math,AboveMath,BelowMath,Read,AboveRead,BelowRead
CTJF,1,3,2,5,412,392,,,,,1.1,25.5147016443461,,,,,,
CTJF,1,3,6,9,356,308,,,,,1.1,22.9921725811199,,,,,,
CTJF,1,3,2,9,721,748,9,11.1111111111111,28.9185061854861,,1.1,24.1155551460048,,,,,,
CTJF,1,3,10,14,492,578,,,44.6008968519693,,1.25,26.973876250921,,,,,,
FTP,1,4,1,8,565,543,10,10.9090909090909,28.3294899354012,43.3012701892219,1.11111111111111,30,,,,,,
FTP,1,4,9,13,374,367,,,46.911725613113,,1.42857142857143,30,,,,,,
MFIPLR,1,3,2,9,281,306,10.7142857142857,50,33.5199940334124,18.629009635512,1.33333333333333,32.8437208610718,,,,,,
MFIPLR,2,3,2,9,281,292,10,38.3333333333333,33.5199940334124,18.629009635512,1.42857142857143,32.8437208610718,,,,,,
MFIPLR,1,3,2,5,337,338,,,,19.119623427254,1.1,31.288975694324,,,,,,
MFIPLR,1,3,6,9,213,246,,,,27.1293199325011,1.1,37.3866286257534,,,,,,
MFIPLR,1,3,10,18,154,164,,,,38.1668704506932,1.1,42.0832508250016,,,,,,
MFIPLR,1,3,2,5,193,195,10,45,,,1.1,,,,,,,
MFIPLR,1,3,6,9,113,86,10,45,,,1.1,,,,,,,
MFIPRA,1,3,2,9,259,258,7.69230769230769,32,24.1155551460048,20.9485083001153,0.909090909090909,21.9997727260988,,,,,,
MFIPRA,2,3,2,9,259,135,7.5,34,24.1155551460048,20.9485083001153,1.1,21.9997727260988,,,,,,
MFIPRA,1,3,2,5,293,284,,,,17.058722109232,1.1,20.9485083001153,,,,,,
MFIPRA,1,3,6,9,206,217,,,,22.2027025382047,1.1,27.5882221246676,,,,,,
MFIPRA,1,3,10,18,170,196,,,,47.1639692986076,1.1,37.2080636421731,,,,,,
LAGAIN,1,2,3,5,239,222,,,,24.1155551460048,1.1,,,,,,,
LAGAIN,1,2,6,9,221,208,,,27.7387815161373,24.8282097622845,1.1,32.2608121410482,,,,,,
LAGAIN,1,2,10,18,254,245,,,40.8724846320847,26.0136502628908,1.1,34.0652315418522,,,,,,
NEWWSG,1,5,1,2,360,,,,23.7037037037037,32,,,,,,,,
NEWWSG,1,5,3,5,562,,,,26.6666666666667,31,,,,,,,,
NEWWSG,1,5,6,9,517,,,,38.8888888888889,31.4285714285714,,,,,,,,
NEWWSG,1,5,10,18,890,,,,43.3333333333333,26.25,,,,,,,,
NEWWSG,1,,3,5,377,,,,,,,,15,39,38.75,15,40.6666666666667,43.75
NEWWS-GR-HCD,2,5,1,2,381,,,,,,,,,,,,,
NEWWS-GR-HCD,2,5,3,5,534,,,,,,,,,,,,,
NEWWS-GR-HCD,2,5,6,9,503,,,,,,,,,,,,,
NEWWS-GR-HCD,2,5,10,18,919,,,,,,,,,,,,,
NEWWS-GR-HCD,2,,3,5,363,,,,,,,,,,,,,
NEWWS-A-HCD ,2,5,3,5,876,,,,,,,,,,,,,
NEWWS-A-HCD ,2,5,6,9,694,,,,,,,,,,,,,
NEWWS-A-HCD ,2,5,10,18,938,,,,,,,,,,,,,
NEWWS-A-HCD ,2,5,3,5,627,,,,,,,,,,,,,
NEWWS-R-HCD,2,5,3,5,648,,,,,,,,,,,,,
NEWWS-R-HCD,2,5,6,9,484,,,,,,,,,,,,,
NEWWS-R-HCD,2,5,10,18,652,,,,,,,,,,,,,
NEWWS-R-HCD,2,5,3,5,383,,,,,,,,,,,,,
NEWWSA,1,5,3,5,766,,,,20,30,,,,,,,,
NEWWSA,1,5,6,9,652,,,,40,33.3333333333333,,,,,,,,
NEWWSA,1,5,10,18,834,,,,42.5,38,,,,,,,,
NEWWSA,1,5,3,5,557,,,,,,,,15,35,38.3333333333333,15,32,40
NEWWSR,1,5,3,5,820,,,,23.75,28.8888888888889,,,,,,,,
NEWWSR,1,5,6,9,753,,,,40,25,,,,,,,,
NEWWSR,1,5,10,18,1120,,,,30,20.7142857142857,,,,,,,,
NEWWSR,1,5,3,5,463,,,,,,,,15,41.25,38,15,35,44
