Year,Quarter,Date,Site_1,Treatment,LFP,Earnings,Welfare,Receipt,FoodStamps,TotInc,Treatment_Num,Site,NEWWS
1996,0,,CTJF,Control,39.2,753,84.7,1107,85.6,2355,0,CTJF,0
1996,1,,CTJF,Control,41.8,927,76.3,1010,80,2407,0,CTJF,0
1996,2,,CTJF,Control,43.3,1039,69.6,930,74.6,2412,0,CTJF,0
1996,3,,CTJF,Control,44.6,1112,65.1,873,71,2410,0,CTJF,0
1997,0,,CTJF,Control,46,1202,60.9,830,67.9,2447,0,CTJF,0
1997,1,,CTJF,Control,46.4,1308,57.6,781,65.1,2483,0,CTJF,0
1997,2,,CTJF,Control,48.6,1424,53.9,723,61.6,2527,0,CTJF,0
1997,3,,CTJF,Control,50.3,1531,51,684,58.8,2581,0,CTJF,0
1998,0,,CTJF,Control,51.1,1598,47.1,636,56.8,2589,0,CTJF,0
1998,1,,CTJF,Control,52.6,1718,43.9,589,54.8,2649,0,CTJF,0
1998,2,,CTJF,Control,52.8,1806,41.3,540,52.6,2670,0,CTJF,0
1998,3,,CTJF,Control,53.6,1932,37.1,495,49.3,2740,0,CTJF,0
1999,0,,CTJF,Control,53.9,2071,34.2,458,47.9,2827,0,CTJF,0
1999,1,,CTJF,Control,53.5,2156,31.9,432,45.9,2872,0,CTJF,0
1999,2,,CTJF,Control,53.9,2126,29.6,393,43.9,2790,0,CTJF,0
1999,3,,CTJF,Control,53.1,2149,28,365,42.5,2776,0,CTJF,0
1996,0,,CTJF,Treatment,44.4,753,90,1287,87.4,2586,1,CTJF,0
1996,1,,CTJF,Treatment,48.7,962,83.4,1204,82.6,2688,1,CTJF,0
1996,2,,CTJF,Treatment,52,1103,78,1129,78.2,2730,1,CTJF,0
1996,3,,CTJF,Treatment,52.6,1210,73.1,1054,74.6,2739,1,CTJF,0
1997,0,,CTJF,Treatment,54.5,1365,67.8,992,69.8,2810,1,CTJF,0
1997,1,,CTJF,Treatment,55.1,1438,64.6,945,67.3,2823,1,CTJF,0
1997,2,,CTJF,Treatment,57.1,1573,60.7,813,64.8,2794,1,CTJF,0
1997,3,,CTJF,Treatment,58,1729,45.3,632,58.2,2731,1,CTJF,0
1998,0,,CTJF,Treatment,58.9,1816,41.9,568,55.6,2740,1,CTJF,0
1998,1,,CTJF,Treatment,58.7,1846,35.6,480,52.2,2666,1,CTJF,0
1998,2,,CTJF,Treatment,59.1,1974,31.1,426,49.4,2724,1,CTJF,0
1998,3,,CTJF,Treatment,58.7,2022,25.7,363,46.1,2689,1,CTJF,0
1999,0,,CTJF,Treatment,60,2134,24,329,44.9,2754,1,CTJF,0
1999,1,,CTJF,Treatment,60.6,2189,21.8,302,43.2,2770,1,CTJF,0
1999,2,,CTJF,Treatment,60.7,2269,20.4,282,41.5,2819,1,CTJF,0
1999,3,,CTJF,Treatment,60.7,2278,18.8,255,39.3,2793,1,CTJF,0
1994,0,,FTP,Control,37.5,521,76.9,597,86.5,1776,0,FTP,0
1994,1,,FTP,Control,39.2,607,67.3,522,78,1710,0,FTP,0
1994,2,,FTP,Control,39.8,676,58.9,452,71.3,1659,0,FTP,0
1994,3,,FTP,Control,40.8,716,54.4,419,68.3,1655,0,FTP,0
1995,0,,FTP,Control,41.1,745,49.8,376,65.3,1609,0,FTP,0
1995,1,,FTP,Control,41.9,782,47.2,342,61.7,1587,0,FTP,0
1995,2,,FTP,Control,45.2,872,42.2,298,58.8,1602,0,FTP,0
1995,3,,FTP,Control,44.5,880,38.6,273,56.4,1561,0,FTP,0
1996,0,,FTP,Control,45.3,928,36.1,253,52.3,1566,0,FTP,0
1996,1,,FTP,Control,44.2,952,33.1,228,49.1,1535,0,FTP,0
1996,2,,FTP,Control,44.5,988,31,209,47.2,1540,0,FTP,0
1996,3,,FTP,Control,44.6,985,27.9,180,46.8,1496,0,FTP,0
1997,0,,FTP,Control,46.3,1094,24.3,160,43.6,1558,0,FTP,0
1997,1,,FTP,Control,48.4,1145,21.3,142,41.9,1572,0,FTP,0
1997,2,,FTP,Control,48.2,1211,19.2,125,39.7,1603,0,FTP,0
1997,3,,FTP,Control,49.1,1191,17.8,121,37.4,1578,0,FTP,0
1998,0,,FTP,Control,48.6,1245,16.5,104,36.7,1614,0,FTP,0
1998,1,,FTP,Control,49.7,1328,14,94,34.1,1674,0,FTP,0
1994,0,,FTP,Treatment,37.9,522,78.7,609,86.8,1752,1,FTP,0
1994,1,,FTP,Treatment,41.8,653,70.1,521,78.5,1722,1,FTP,0
1994,2,,FTP,Treatment,44.3,764,61.2,449,71.8,1712,1,FTP,0
1994,3,,FTP,Treatment,45.2,818,56.6,401,68.6,1682,1,FTP,0
1995,0,,FTP,Treatment,47,893,50.7,355,64.3,1685,1,FTP,0
1995,1,,FTP,Treatment,49.2,945,46.1,315,61.4,1678,1,FTP,0
1995,2,,FTP,Treatment,49.8,1014,41.2,264,57.6,1669,1,FTP,0
1995,3,,FTP,Treatment,52.8,1087,36.5,219,55.2,1677,1,FTP,0
1996,0,,FTP,Treatment,52.4,1158,30.6,181,52,1688,1,FTP,0
1996,1,,FTP,Treatment,50.8,1143,27.1,158,50.5,1633,1,FTP,0
1996,2,,FTP,Treatment,51.2,1210,23.8,136,47,1660,1,FTP,0
1996,3,,FTP,Treatment,51.1,1252,19.2,106,44.3,1654,1,FTP,0
1997,0,,FTP,Treatment,51,1341,13.3,76,42.7,1703,1,FTP,0
1997,1,,FTP,Treatment,49,1241,12.3,72,41.9,1587,1,FTP,0
1997,2,,FTP,Treatment,49.2,1297,11.5,67,38.5,1630,1,FTP,0
1997,3,,FTP,Treatment,49.8,1327,10.5,58,36.9,1643,1,FTP,0
1998,0,,FTP,Treatment,47.7,1292,9.7,52,35.3,1589,1,FTP,0
1998,1,,FTP,Treatment,48,1345,8.1,49,32.2,1622,1,FTP,0
1994,1,,MFIP-LR-I,Control,27.8,313,97.4,1903,,2216,0,MFIP-LR,0
1994,2,,MFIP-LR-I,Control,31.5,399,97.1,1969,,2368,0,MFIP-LR,0
1994,3,,MFIP-LR-I,Control,34.4,520,92.8,1864,,2384,0,MFIP-LR,0
1995,0,,MFIP-LR-I,Control,32.1,567,88.6,1761,,2328,0,MFIP-LR,0
1995,1,,MFIP-LR-I,Control,33.1,660,84.4,1644,,2304,0,MFIP-LR,0
1995,2,,MFIP-LR-I,Control,36,752,79.4,1576,,2328,0,MFIP-LR,0
1995,3,,MFIP-LR-I,Control,37.6,858,77.3,1526,,2384,0,MFIP-LR,0
1996,0,,MFIP-LR-I,Control,41.2,929,74.3,1465,,2394,0,MFIP-LR,0
1996,1,,MFIP-LR-I,Control,42.3,1112,71.8,1368,,2480,0,MFIP-LR,0
1996,2,,MFIP-LR-I,Control,44.1,1222,66.6,1295,,2517,0,MFIP-LR,0
1996,3,,MFIP-LR-I,Control,45.3,1304,63.8,1220,,2524,0,MFIP-LR,0
1997,0,,MFIP-LR-I,Control,44.7,1370,60.3,1166,,2536,0,MFIP-LR,0
1994,1,,MFIP-LR-I,Treatment,31.6,354,98.1,2004,,2358,2,MFIP-LR,0
1994,2,,MFIP-LR-I,Treatment,37.7,450,97.6,2182,,2632,2,MFIP-LR,0
1994,3,,MFIP-LR-I,Treatment,39.4,561,95.2,2058,,2619,2,MFIP-LR,0
1995,0,,MFIP-LR-I,Treatment,41.3,645,91.6,1987,,2632,2,MFIP-LR,0
1995,1,,MFIP-LR-I,Treatment,40.6,688,89.6,1913,,2601,2,MFIP-LR,0
1995,2,,MFIP-LR-I,Treatment,41.4,751,87,1867,,2618,2,MFIP-LR,0
1995,3,,MFIP-LR-I,Treatment,43.2,826,84.8,1818,,2644,2,MFIP-LR,0
1996,0,,MFIP-LR-I,Treatment,42.3,903,82.3,1736,,2639,2,MFIP-LR,0
1996,1,,MFIP-LR-I,Treatment,44.8,970,80.6,1673,,2643,2,MFIP-LR,0
1996,2,,MFIP-LR-I,Treatment,45.5,1097,76.3,1588,,2685,2,MFIP-LR,0
1996,3,,MFIP-LR-I,Treatment,48.1,1273,74,1513,,2786,2,MFIP-LR,0
1997,0,,MFIP-LR-I,Treatment,51.3,1382,72.1,1453,,2835,2,MFIP-LR,0
1996,1,,LA-GAIN,Control,25.1,446,97.6,1620,93.2,2066,2,LA-GAIN,0
1996,2,,LA-GAIN,Control,28.2,553,92.7,1505,89,2058,0,LA-GAIN,0
1996,3,,LA-GAIN,Control,30.6,663,88.1,1387,85.1,2050,0,LA-GAIN,0
1997,0,,LA-GAIN,Control,32.9,785,82.5,1283,80.1,2068,0,LA-GAIN,0
1997,1,,LA-GAIN,Control,35.2,876,77.9,1189,76.2,2065,0,LA-GAIN,0
1997,2,,LA-GAIN,Control,37.6,966,73.6,1099,71.5,2065,0,LA-GAIN,0
1997,3,,LA-GAIN,Control,37.5,1011,69.4,1019,67.2,2030,0,LA-GAIN,0
1998,1,,LA-GAIN,Control,38.4,1085,66.2,963,64.5,2048,0,LA-GAIN,0
1996,1,,LA-GAIN,Treatment,35.5,614,97.2,1573,92.9,2187,1,LA-GAIN,0
1996,2,,LA-GAIN,Treatment,37.5,779,90.2,1395,86.7,2174,1,LA-GAIN,0
1996,3,,LA-GAIN,Treatment,38.4,850,83.6,1244,81,2094,1,LA-GAIN,0
1997,0,,LA-GAIN,Treatment,40,963,78.2,1152,76.4,2115,1,LA-GAIN,0
1997,1,,LA-GAIN,Treatment,42,1088,73.4,1063,72,2151,1,LA-GAIN,0
1997,2,,LA-GAIN,Treatment,43.8,1170,69,975,67.6,2145,1,LA-GAIN,0
1997,3,,LA-GAIN,Treatment,44,1227,65,878,63.9,2105,1,LA-GAIN,0
1998,1,,LA-GAIN,Treatment,44.9,1322,61.5,813,60.3,2135,1,LA-GAIN,0
1994,1,,MFIP-LR-F,Control,27.8,313,97.4,1903,,2216,0,MFIP-LR,0
1994,2,,MFIP-LR-F,Control,31.5,399,97.1,1969,,2368,0,MFIP-LR,0
1994,3,,MFIP-LR-F,Control,34.4,520,92.8,1864,,2384,0,MFIP-LR,0
1995,0,,MFIP-LR-F,Control,32.1,567,88.6,1761,,2328,0,MFIP-LR,0
1995,1,,MFIP-LR-F,Control,33.1,660,84.4,1644,,2304,0,MFIP-LR,0
1995,2,,MFIP-LR-F,Control,36,752,79.4,1576,,2328,0,MFIP-LR,0
1995,3,,MFIP-LR-F,Control,37.6,858,77.3,1526,,2384,0,MFIP-LR,0
1996,0,,MFIP-LR-F,Control,41.2,929,74.3,1465,,2394,0,MFIP-LR,0
1996,1,,MFIP-LR-F,Control,42.3,1112,71.8,1368,,2480,0,MFIP-LR,0
1996,2,,MFIP-LR-F,Control,44.1,1222,66.6,1295,,2517,0,MFIP-LR,0
1996,3,,MFIP-LR-F,Control,45.3,1304,63.8,1220,,2524,0,MFIP-LR,0
1997,0,,MFIP-LR-F,Control,44.7,1370,60.3,1166,,2536,0,MFIP-LR,0
1994,1,,MFIP-LR-F,Treatment,31.5,327,97.5,2021,,2348,1,MFIP-LR,0
1994,2,,MFIP-LR-F,Treatment,42.1,476,96.8,2166,,2642,1,MFIP-LR,0
1994,3,,MFIP-LR-F,Treatment,47.2,658,94.2,2006,,2664,1,MFIP-LR,0
1995,0,,MFIP-LR-F,Treatment,45.2,762,90.7,1888,,2650,1,MFIP-LR,0
1995,1,,MFIP-LR-F,Treatment,49.6,900,88.1,1794,,2694,1,MFIP-LR,0
1995,2,,MFIP-LR-F,Treatment,52.7,996,84,1729,,2725,1,MFIP-LR,0
1995,3,,MFIP-LR-F,Treatment,52.4,1076,82.2,1651,,2727,1,MFIP-LR,0
1996,0,,MFIP-LR-F,Treatment,53.4,1156,80,1600,,2756,1,MFIP-LR,0
1996,1,,MFIP-LR-F,Treatment,54.1,1288,78,1529,,2817,1,MFIP-LR,0
1996,2,,MFIP-LR-F,Treatment,56.2,1387,74.4,1442,,2829,1,MFIP-LR,0
1996,3,,MFIP-LR-F,Treatment,55.5,1450,71.3,1377,,2827,1,MFIP-LR,0
1997,0,,MFIP-LR-F,Treatment,56.9,1486,67.8,1322,,2808,1,MFIP-LR,0
1994,1,,MFIP-R-I,Control,53.8,881,77.4,738,,1619,0,MFIP-RA,0
1994,2,,MFIP-R-I,Control,46.3,937,77.9,1195,,2132,0,MFIP-RA,0
1994,3,,MFIP-R-I,Control,47.7,1169,68.4,1079,,2248,0,MFIP-RA,0
1995,0,,MFIP-R-I,Control,49.3,1320,61.9,970,,2290,0,MFIP-RA,0
1995,1,,MFIP-R-I,Control,51.9,1437,54.9,850,,2287,0,MFIP-RA,0
1995,2,,MFIP-R-I,Control,51.8,1515,49.9,788,,2303,0,MFIP-RA,0
1995,3,,MFIP-R-I,Control,52.9,1645,46.6,735,,2380,0,MFIP-RA,0
1996,0,,MFIP-R-I,Control,53.9,1712,44.8,698,,2410,0,MFIP-RA,0
1996,1,,MFIP-R-I,Control,53.9,1791,42.3,667,,2458,0,MFIP-RA,0
1996,2,,MFIP-R-I,Control,55,1932,39.5,611,,2543,0,MFIP-RA,0
1996,3,,MFIP-R-I,Control,55.7,2025,36.7,563,,2588,0,MFIP-RA,0
1997,0,,MFIP-R-I,Control,55.3,2095,33.8,510,,2605,0,MFIP-RA,0
1994,1,,MFIP-R-I,Treatment,52.6,878,82.7,915,,1793,2,MFIP-RA,0
1994,2,,MFIP-R-I,Treatment,49.8,908,84.6,1526,,2434,2,MFIP-RA,0
1994,3,,MFIP-R-I,Treatment,51.3,1163,76.7,1367,,2530,2,MFIP-RA,0
1995,0,,MFIP-R-I,Treatment,51.7,1237,70.1,1245,,2482,2,MFIP-RA,0
1995,1,,MFIP-R-I,Treatment,53.1,1290,65.5,1130,,2420,2,MFIP-RA,0
1995,2,,MFIP-R-I,Treatment,52,1457,59.7,1066,,2523,2,MFIP-RA,0
1995,3,,MFIP-R-I,Treatment,53.2,1526,56.9,1008,,2534,2,MFIP-RA,0
1996,0,,MFIP-R-I,Treatment,53.1,1568,54.8,969,,2537,2,MFIP-RA,0
1996,1,,MFIP-R-I,Treatment,55.1,1656,52,937,,2593,2,MFIP-RA,0
1996,2,,MFIP-R-I,Treatment,54.9,1813,49.1,868,,2681,2,MFIP-RA,0
1996,3,,MFIP-R-I,Treatment,55.9,1890,47.8,852,,2742,2,MFIP-RA,0
1997,0,,MFIP-R-I,Treatment,55.1,1940,44,784,,2724,2,MFIP-RA,0
1994,1,,MFIP-R-F,Control,53.8,881,77.4,738,,1619,0,MFIP-RA,0
1994,2,,MFIP-R-F,Control,46.3,937,77.9,1195,,2132,0,MFIP-RA,0
1994,3,,MFIP-R-F,Control,47.7,1169,68.4,1079,,2248,0,MFIP-RA,0
1995,0,,MFIP-R-F,Control,49.3,1320,61.9,970,,2290,0,MFIP-RA,0
1995,1,,MFIP-R-F,Control,51.9,1437,54.9,850,,2287,0,MFIP-RA,0
1995,2,,MFIP-R-F,Control,51.8,1515,49.9,788,,2303,0,MFIP-RA,0
1995,3,,MFIP-R-F,Control,52.9,1645,46.6,735,,2380,0,MFIP-RA,0
1996,0,,MFIP-R-F,Control,53.9,1712,44.8,698,,2410,0,MFIP-RA,0
